Country,CountryName,FDI,ELECTRICITY,RENEWABLE_ENERGY,CO2,CPI,CELL_PHONES,INTERNET,EXPORTS,IMPORTS,GDP,FEMALE_MORTALITY,MALE_MORTALITY,BIRTH,DEATH,INFANT_MORTALITY,LIFE_EXP,FERTILITY,POPULATION,URBAN_POP
HND,Honduras,3.060965495,80.984668,53.15536469,0.973269197,4.700549929,115.9893654,11.09,45.7589062,63.68293204,1932.85829,127.292,180.532,24.655,4.86,19.9,72.446,2.871,1.968750939,51.696
HRV,Croatia,2.386823306,100,29.77504731,4.566131051,1.030555053,113.867324,56.55,37.73744278,38.16018769,13505.74586,60.026,143.178,9.8,11.8,4.7,76.47560976,1.55,-0.255390216,57.537
HTI,Haiti,2.687789865,35.93851852,79.02484324,0.212694146,5.696511023,40.00153206,8.37,15.34208397,64.74909347,662.2795182,231.035,293.377,26.659,9.23,85.2,61.296,3.325,1.478400896,52.016
HUN,Hungary,-15.98921955,100,13.45602883,5.022311649,4.881345076,120.9913032,65,81.82944035,76.52325751,13092.23376,94.864,218.889,9,13,5.1,74.20731707,1.25,-0.226013876,68.859
IDN,Indonesia,2.025179138,94.15,37.75342034,1.767907879,5.1327549,87.12132731,10.92,24.29903094,22.40224294,3113.480635,154.894,213.184,20.862,7.115,27.5,68.15,2.483,1.321404942,49.924
IND,India,1.653785022,76.3,39.48150873,1.397008906,11.99229692,61.10493897,7.5,22.5904459,27.09844535,1345.770153,157.929,225.258,21.408,7.534,45.5,66.625,2.601,1.366797957,30.93
IRL,Ireland,17.01437624,100,5.273538143,8.783613934,-0.946166395,101.6111338,69.85,103.1109135,86.47925732,48671.88829,50.789,86.762,16.5,6.1,3.5,80.74390244,2.05,0.544884384,61.84
IRN,"Iran, Islamic Rep.",0.749168626,99.12870789,0.897453786,7.684728662,10.13714717,72.4870165,15.9,24.39965328,19.37099045,6531.92743,76.814,131.23,18.347,4.93,16.5,73.932,1.765,1.187084256,70.626
IRQ,Iraq,1.00796494,98.48660278,1.709637055,3.647128775,2.877747253,75.62537503,2.5,39.41682921,34.08065041,4502.749048,135.99,215.885,34.891,5.578,30.2,68.465,4.562,2.86233481,69.034
ISL,Iceland,1.930669536,100,75.41969184,6.168528586,5.393595958,106.4774231,93.39,53.44150906,43.28708936,41851.73548,36.335,70.518,15.4,6.4,2,81.89756098,2.2,-0.143903,93.624
ISR,Israel,2.989903809,100,8.503355,9.035223254,2.69295911,122.6912241,67.5,34.99117297,32.89973496,30642.94062,42.947,77.069,21.8,5.2,3.7,81.60243902,3.03,1.82675241,91.824
